2026-02-26 14:16:20,479 - INFO - Лог-файл этой симуляции: logs\sim_20260226_141620.log
2026-02-26 14:16:20,480 - INFO - ============================================================
2026-02-26 14:16:20,480 - INFO - НАЧАЛО СИМУЛЯЦИИ
2026-02-26 14:16:20,480 - INFO - Режим: random
2026-02-26 14:16:20,480 - INFO - Модуляция: PSK-8, Код Грея: True
2026-02-26 14:16:20,480 - INFO - Кодирование: отключено
2026-02-26 14:16:20,480 - INFO - Диапазон Eb/N0: 0.0..10.0 дБ, шаг 1.0
2026-02-26 14:16:20,480 - INFO - ============================================================
2026-02-26 14:16:20,581 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=28978 | BER=2.898e-01 | SER=6.500e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:20,677 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=29194 | BER=2.919e-01 | SER=6.530e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:20,778 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=29218 | BER=2.922e-01 | SER=6.527e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:20,875 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=28909 | BER=2.891e-01 | SER=6.486e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:20,970 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=29054 | BER=2.905e-01 | SER=6.488e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,068 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=27029 | BER=2.703e-01 | SER=6.237e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,168 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=27618 | BER=2.762e-01 | SER=6.302e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,264 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=27237 | BER=2.724e-01 | SER=6.264e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,358 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=27578 | BER=2.758e-01 | SER=6.321e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,452 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=27217 | BER=2.722e-01 | SER=6.233e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,550 - INFO - Eb/N0=2.00 dB | Es/N0=6.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=25050 | BER=2.505e-01 | SER=5.930e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,647 - INFO - Eb/N0=2.00 dB | Es/N0=6.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=25020 | BER=2.502e-01 | SER=5.954e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,743 - INFO - Eb/N0=2.00 dB | Es/N0=6.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=25099 | BER=2.510e-01 | SER=5.948e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,838 - INFO - Eb/N0=2.00 dB | Es/N0=6.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=25104 | BER=2.510e-01 | SER=5.942e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:21,935 - INFO - Eb/N0=2.00 dB | Es/N0=6.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=25068 | BER=2.507e-01 | SER=5.906e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,050 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=21813 | BER=2.181e-01 | SER=5.428e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,155 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=22308 | BER=2.231e-01 | SER=5.522e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,253 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=22159 | BER=2.216e-01 | SER=5.495e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,348 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=22051 | BER=2.205e-01 | SER=5.485e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,448 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=22045 | BER=2.205e-01 | SER=5.479e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,543 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=18211 | BER=1.821e-01 | SER=4.785e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,639 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=18525 | BER=1.852e-01 | SER=4.861e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,734 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=18493 | BER=1.849e-01 | SER=4.857e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,829 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=18309 | BER=1.831e-01 | SER=4.826e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:22,922 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=18413 | BER=1.841e-01 | SER=4.858e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,019 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=14239 | BER=1.424e-01 | SER=3.989e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,122 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=14082 | BER=1.408e-01 | SER=3.962e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,219 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=13988 | BER=1.399e-01 | SER=3.937e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,316 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=13929 | BER=1.393e-01 | SER=3.916e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,414 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=14126 | BER=1.413e-01 | SER=3.956e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,544 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=9830 | BER=9.830e-02 | SER=2.897e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,644 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=9687 | BER=9.687e-02 | SER=2.855e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,742 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=9660 | BER=9.660e-02 | SER=2.857e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,866 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=9704 | BER=9.704e-02 | SER=2.863e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:23,960 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=9820 | BER=9.820e-02 | SER=2.893e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,058 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=5757 | BER=5.757e-02 | SER=1.722e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,159 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=5773 | BER=5.773e-02 | SER=1.728e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,258 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=5796 | BER=5.796e-02 | SER=1.733e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,355 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=5824 | BER=5.824e-02 | SER=1.744e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,451 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=5817 | BER=5.817e-02 | SER=1.742e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,547 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=2767 | BER=2.767e-02 | SER=8.277e-02 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,643 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=2678 | BER=2.678e-02 | SER=7.998e-02 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,739 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=2739 | BER=2.739e-02 | SER=8.202e-02 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,862 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=2729 | BER=2.729e-02 | SER=8.145e-02 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:16:24,957 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=True | CodeRate=1.000 | Bits=100000 | BitErrors=2670 | BER=2.670e-02 | SER=7.977e-02 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['AWGN', 'Timing Offset', 'Impulse Noise']
