2026-02-26 14:17:30,053 - INFO - Лог-файл этой симуляции: logs\sim_20260226_141730.log
2026-02-26 14:17:30,054 - INFO - ============================================================
2026-02-26 14:17:30,054 - INFO - НАЧАЛО СИМУЛЯЦИИ
2026-02-26 14:17:30,054 - INFO - Режим: random
2026-02-26 14:17:30,054 - INFO - Модуляция: PSK-8, Код Грея: False
2026-02-26 14:17:30,054 - INFO - Кодирование: отключено
2026-02-26 14:17:30,054 - INFO - Диапазон Eb/N0: 0.0..10.0 дБ, шаг 1.0
2026-02-26 14:17:30,054 - INFO - ============================================================
2026-02-26 14:17:30,382 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=43174 | BER=4.317e-01 | SER=7.553e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:30,692 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=41773 | BER=4.177e-01 | SER=7.298e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:31,009 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=43429 | BER=4.343e-01 | SER=7.592e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:31,328 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=42785 | BER=4.279e-01 | SER=7.487e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:31,648 - INFO - Eb/N0=0.00 dB | Es/N0=4.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=43811 | BER=4.381e-01 | SER=7.652e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:31,970 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=42539 | BER=4.254e-01 | SER=7.452e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:32,288 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=41683 | BER=4.168e-01 | SER=7.319e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:32,596 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=45020 | BER=4.502e-01 | SER=7.935e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:32,913 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=40778 | BER=4.078e-01 | SER=7.141e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:33,229 - INFO - Eb/N0=1.00 dB | Es/N0=5.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=44705 | BER=4.471e-01 | SER=7.842e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:33,544 - INFO - Eb/N0=2.00 dB | Es/N0=6.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=45344 | BER=4.534e-01 | SER=7.919e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
